,step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,rn,rn2
290758,15,CASH_IN,135634.48,C460515913,4083193.03,4218827.51,C1002469873,179314.67,43680.2,0,1.0,9.0
305620,15,CASH_OUT,110759.22,C802344735,54287.0,0.0,C1002469873,43680.2,154439.42,0,1.0,10.0
457143,19,CASH_OUT,59963.72,C715219059,0.0,0.0,C1002469873,154439.42,157307.25,0,1.0,11.0
457618,19,CASH_IN,57095.89,C1698789839,2614176.65,2671272.53,C1002469873,214403.13,157307.25,0,1.0,12.0
459727,19,CASH_OUT,19683.13,C1424293697,70699.0,51015.87,C1002469873,157307.25,1017765.39,0,1.0,13.0
460617,19,CASH_OUT,131104.46,C2083328673,0.0,0.0,C1002469873,176990.38,1017765.39,0,1.0,14.0
473309,19,TRANSFER,657792.79,C874871997,51052.0,0.0,C1002469873,308094.85,1017765.39,0,1.0,15.0
497391,20,CASH_OUT,51877.76,C615828588,6449.0,0.0,C1002469873,965887.63,1017765.39,0,1.0,16.0
618798,34,CASH_OUT,28577.08,C1482857791,82646.0,54068.92,C1002469873,1017765.39,1046342.47,0,1.0,17.0
834295,41,CASH_IN,136907.84,C724177924,2764883.94,2901791.78,C1002469873,1046342.47,909434.63,0,1.0,18.0
1004217,46,TRANSFER,572141.4,C1899575836,8317.58,0.0,C1002469873,909434.63,1481576.03,0,1.0,19.0
1030266,51,CASH_OUT,339275.64,C433192438,339275.64,0.0,C1002469873,1481576.03,1820851.68,1,1.0,20.0
1188814,132,CASH_OUT,314647.68,C84322425,0.0,0.0,C1002469873,1820851.68,2135499.36,0,1.0,21.0
1530206,153,CASH_IN,91039.39,C818274758,200457.0,291496.39,C1002469873,2135499.36,2044459.97,0,1.0,22.0
1787022,162,CASH_OUT,181668.68,C1169138305,0.0,0.0,C1002469873,2044459.97,2226128.66,0,1.0,23.0
2068586,181,CASH_OUT,317286.04,C17129066,0.0,0.0,C1002469873,2226128.66,2543414.7,0,1.0,24.0
2378937,192,CASH_IN,107918.15,C2107668552,2250877.27,2358795.42,C1002469873,2543414.7,2435496.55,0,1.0,25.0
2582316,207,CASH_IN,274504.04,C996293935,1806250.63,2080754.68,C1002469873,2435496.55,2160992.5,0,1.0,26.0
2765838,213,TRANSFER,848442.23,C958276127,0.0,0.0,C1002469873,2160992.5,3009434.73,0,1.0,27.0
2891897,228,CASH_OUT,178239.81,C1022993497,0.0,0.0,C1002469873,3009434.73,3187674.54,0,1.0,28.0
3269127,251,TRANSFER,425975.45,C1468069252,94013.4,0.0,C1002469873,3187674.54,3613649.98,0,1.0,29.0
4483841,324,TRANSFER,1789150.09,C487148193,0.0,0.0,C1002469873,3613649.98,5402800.08,0,1.0,30.0
4869992,348,CASH_OUT,358711.44,C385687480,206943.0,0.0,C1002469873,5402800.08,5761511.52,0,1.0,31.0
5340149,374,CASH_OUT,39165.85,C762840051,0.0,0.0,C1002469873,5761511.52,5800677.36,0,1.0,32.0
5922827,404,TRANSFER,726338.58,C658650931,0.0,0.0,C1002469873,5800677.36,6527015.94,0,1.0,33.0
6176976,565,TRANSFER,646378.08,C979726032,353.0,0.0,C1002939134,161906.03,808284.11,0,1.0,1.0
6276611,638,CASH_OUT,43996.54,C103861454,43996.54,0.0,C1002939134,808284.11,852280.66,1,1.0,2.0
792508,40,CASH_OUT,254060.33,C808321170,49703.0,0.0,C1002952732,181060.0,781593.83,0,1.0,1.0
816879,40,CASH_OUT,346473.5,C1038107165,11153.0,0.0,C1002952732,435120.33,781593.83,0,1.0,2.0
819244,40,CASH_OUT,354414.5,C434755795,141.0,0.0,C1002952732,781593.83,0.0,0,1.0,3.0
1254006,134,CASH_IN,120639.39,C935048561,20831.0,141470.39,C1002952732,0.0,0.0,0,1.0,4.0
1547957,154,CASH_OUT,235111.54,C746108953,63135.0,0.0,C1002952732,0.0,235111.54,0,1.0,5.0
2019119,180,TRANSFER,154005.74,C1595124369,0.0,0.0,C1002952732,235111.54,389117.28,0,1.0,6.0
2124048,183,TRANSFER,116952.12,C1776476813,92150.0,0.0,C1002952732,389117.28,506069.4,0,1.0,7.0
2583133,207,CASH_OUT,191857.62,C867856401,0.0,0.0,C1002952732,506069.4,697927.03,0,1.0,8.0
2764060,213,CASH_IN,90816.59,C1089506095,2529697.2,2620513.79,C1002952732,697927.03,607110.44,0,1.0,9.0
3155903,237,CASH_IN,255878.8,C1529612515,14417654.58,14673533.38,C1002952732,607110.44,351231.64,0,1.0,10.0
3403742,255,CASH_OUT,256050.83,C800662179,0.0,0.0,C1002952732,351231.64,607282.47,0,1.0,11.0
3755835,279,TRANSFER,130097.51,C2142917253,0.0,0.0,C1002952732,607282.47,737379.97,0,1.0,12.0
3896569,284,CASH_IN,290257.14,C166871104,129380.91,419638.04,C1002952732,737379.97,447122.84,0,1.0,13.0
4386196,312,CASH_OUT,275302.06,C782480456,0.0,0.0,C1002952732,447122.84,722424.9,0,1.0,14.0
4719590,332,CASH_IN,175338.66,C1476674593,15158825.6,15334164.26,C1002952732,722424.9,547086.24,0,1.0,15.0
4812236,346,CASH_IN,225182.49,C38867883,32736.0,257918.49,C1002952732,547086.24,321903.75,0,1.0,16.0
5152384,357,CASH_OUT,113517.5,C1938706936,0.0,0.0,C1002952732,321903.75,435421.25,0,1.0,17.0
5891578,403,CASH_OUT,151448.87,C1073768146,0.0,0.0,C1002952732,435421.25,586870.12,0,1.0,18.0
6030427,474,CASH_OUT,13461.84,C1228190124,461.0,0.0,C1002952732,586870.12,600331.95,0,1.0,19.0
6282922,656,CASH_OUT,110528.53,C2014517092,110528.53,0.0,C1002952732,600331.95,710860.48,1,1.0,20.0
714304,37,CASH_IN,55449.36,C1754312194,4631541.6,4686990.96,C1005460442,170695.0,115245.64,0,1.0,1.0
1030570,73,CASH_OUT,400157.86,C1959804825,400157.86,0.0,C1005460442,0.0,400157.86,1,1.0,2.0
1618272,157,CASH_OUT,52459.21,C1924538520,0.0,0.0,C1005460442,400157.86,452617.07,0,1.0,3.0
1734033,161,CASH_IN,250171.59,C159667095,258288.31,508459.9,C1005460442,452617.07,202445.49,0,1.0,4.0
1925870,167,CASH_OUT,203668.25,C953371980,82690.0,0.0,C1005460442,202445.49,406113.74,0,1.0,5.0
1928181,168,CASH_IN,250101.32,C591393948,8551829.25,8801930.57,C1005460442,406113.74,156012.42,0,1.0,6.0
1969126,178,CASH_IN,519611.12,C764988303,7004.0,526615.12,C1005460442,156012.42,0.0,0,1.0,7.0
2265014,187,CASH_OUT,242187.64,C567813688,49723.0,0.0,C1005460442,0.0,242187.64,0,1.0,8.0
2298215,188,CASH_OUT,166780.36,C1431484152,0.0,0.0,C1005460442,242187.64,408968.0,0,1.0,9.0
2415751,202,CASH_OUT,137013.99,C993090013,0.0,0.0,C1005460442,408968.0,545981.99,0,1.0,10.0
3015374,232,CASH_IN,178770.61,C1670009315,0.0,178770.61,C1005460442,545981.99,367211.39,0,1.0,11.0
3664476,276,CASH_OUT,31868.43,C916664333,0.0,0.0,C1005460442,367211.39,399079.82,0,1.0,12.0
4505061,325,CASH_IN,130952.92,C1129813886,39845.0,170797.92,C1005460442,399079.82,268126.9,0,1.0,13.0
4614971,329,CASH_IN,219773.19,C361472290,5093428.46,5313201.66,C1005460442,268126.9,48353.7,0,1.0,14.0
4787892,345,CASH_OUT,346624.9,C674403809,6051.0,0.0,C1005460442,48353.7,394978.6,0,1.0,15.0
6298131,681,CASH_OUT,257590.3,C821403500,0.0,0.0,C1005460442,394978.6,652568.9,0,1.0,16.0
214482,13,CASH_OUT,101300.93,C1043596404,56275.0,0.0,C1006104964,3386.0,104686.93,0,1.0,1.0
251399,14,CASH_OUT,178762.72,C82714051,77640.91,0.0,C1006104964,104686.93,661531.31,0,1.0,2.0
361882,17,CASH_IN,368787.41,C2060287640,4658054.5,5026841.91,C1006104964,661531.31,352663.32,0,1.0,3.0
388373,17,CASH_OUT,59919.42,C1842000524,0.0,0.0,C1006104964,292743.9,352663.32,0,1.0,4.0
405701,18,CASH_IN,52268.67,C1474950814,1764207.62,1816476.29,C1006104964,352663.32,173281.96,0,1.0,5.0
421377,18,CASH_IN,127112.69,C58673767,1869530.31,1996642.99,C1006104964,300394.65,173281.96,0,1.0,6.0
565542,23,CASH_IN,64838.74,C256886065,2185404.73,2250243.47,C1006104964,173281.96,108443.22,0,1.0,7.0
674172,36,CASH_IN,84505.83,C1857228719,14239253.58,14323759.4,C1006104964,108443.22,23937.39,0,1.0,8.0
929981,43,CASH_IN,107577.77,C1068015495,177.0,107754.77,C1006104964,23937.39,0.0,0,1.0,9.0
2018503,180,CASH_OUT,615338.39,C293128490,40996.0,0.0,C1006104964,0.0,615338.39,0,1.0,10.0
2200294,185,CASH_OUT,679284.24,C1514370105,131687.0,0.0,C1006104964,615338.39,1294622.63,0,1.0,11.0
2987535,231,CASH_OUT,136909.29,C157522878,0.0,0.0,C1006104964,1294622.63,1431531.92,0,1.0,12.0
3199895,249,TRANSFER,212916.78,C2024224714,1265.0,0.0,C1006104964,1431531.92,1644448.7,0,1.0,13.0
3691971,277,TRANSFER,540662.04,C995088995,0.0,0.0,C1006104964,1644448.7,2185110.75,0,1.0,14.0
3704451,277,CASH_OUT,163761.73,C1262428608,21635.0,0.0,C1006104964,2185110.75,2348872.47,0,1.0,15.0
4671852,331,CASH_OUT,42348.53,C1122869607,10766.0,0.0,C1006104964,2348872.47,2391221.01,0,1.0,16.0
4785677,343,CASH_OUT,237943.62,C2097433911,237943.62,0.0,C1006104964,2391221.01,2629164.62,1,1.0,17.0
4889134,349,CASH_IN,144285.34,C1791400118,18923463.45,19067748.79,C1006104964,2629164.62,2484879.28,0,1.0,18.0
5033230,354,CASH_OUT,57902.22,C1950203404,197.0,0.0,C1006104964,2484879.28,2542781.51,0,1.0,19.0
5246304,371,CASH_IN,351866.7,C1676142970,248304.0,600170.7,C1006104964,2542781.51,2190914.81,0,1.0,20.0
5338972,374,CASH_OUT,98814.01,C207009926,0.0,0.0,C1006104964,2190914.81,2289728.82,0,1.0,21.0
5491461,380,CASH_OUT,31660.24,C542511109,0.0,0.0,C1006104964,2289728.82,2321389.06,0,1.0,22.0
5714518,398,CASH_OUT,77741.5,C1571539471,19825.0,0.0,C1006104964,2321389.06,2399130.56,0,1.0,23.0
2975886,231,CASH_OUT,495114.79,C839760713,212256.0,0.0,C1006459134,12943.69,508058.48,0,1.0,1.0
3319779,253,CASH_IN,95561.21,C1493595466,161593.0,257154.21,C1006459134,508058.48,412497.26,0,1.0,2.0
3392534,255,CASH_IN,223776.52,C180895132,1785700.02,2009476.54,C1006459134,412497.26,188720.75,0,1.0,3.0
3610181,266,CASH_OUT,1911239.21,C951381310,1911239.21,0.0,C1006459134,188720.75,2099959.96,1,1.0,4.0
3692169,277,CASH_OUT,44351.25,C1828637577,0.0,0.0,C1006459134,2099959.96,2144311.21,0,1.0,5.0
3949030,287,CASH_OUT,300955.97,C1573753662,0.0,0.0,C1006459134,2144311.21,2445267.18,0,1.0,6.0
3990096,298,CASH_OUT,227404.65,C232552257,0.0,0.0,C1006459134,2445267.18,2672671.83,0,1.0,7.0
4036943,299,CASH_OUT,93031.34,C1875042436,0.0,0.0,C1006459134,2672671.83,2765703.17,0,1.0,8.0
4174631,304,CASH_OUT,14695.95,C1649531323,451368.0,436672.05,C1006459134,2765703.17,2780399.12,0,1.0,9.0
4309818,307,CASH_OUT,163618.92,C1111001663,30552.73,0.0,C1006459134,2780399.12,2944018.04,0,1.0,10.0
5767122,400,TRANSFER,949059.97,C16222030,0.0,0.0,C1006459134,2944018.04,3893078.0,0,1.0,11.0
5813240,401,CASH_IN,361411.17,C1963529658,10359.0,371770.17,C1006459134,3893078.0,3531666.83,0,1.0,12.0
321934,16,CASH_OUT,49710.94,C2123439424,0.0,0.0,C1006464744,88004.0,82654.36,0,1.0,1.0
343249,16,CASH_IN,55060.58,C1940459531,133039.97,188100.56,C1006464744,137714.94,82654.36,0,1.0,2.0
1070151,126,CASH_OUT,938288.58,C1870394283,938288.58,0.0,C1006464744,0.0,938288.58,1,1.0,3.0
1096456,130,CASH_IN,237130.21,C52165183,25138.0,262268.21,C1006464744,938288.58,701158.36,0,1.0,4.0
1208218,133,CASH_OUT,74350.18,C939478058,149913.0,75562.82,C1006464744,701158.36,775508.55,0,1.0,5.0
1308487,136,CASH_OUT,48132.87,C553841307,0.0,0.0,C1006464744,775508.55,823641.42,0,1.0,6.0
1387686,139,CASH_IN,267955.87,C1153863423,7116206.76,7384162.63,C1006464744,823641.42,555685.54,0,1.0,7.0
1445189,140,TRANSFER,335344.36,C664811347,301855.0,0.0,C1006464744,555685.54,891029.9,0,1.0,8.0
1533288,154,CASH_OUT,92883.01,C290122031,0.0,0.0,C1006464744,891029.9,983912.91,0,1.0,9.0
2049079,181,TRANSFER,82255.07,C1071036343,0.0,0.0,C1006464744,983912.91,1066167.98,0,1.0,10.0
2299580,188,CASH_OUT,245075.55,C1230579368,0.0,0.0,C1006464744,1066167.98,1311243.53,0,1.0,11.0
2594141,207,CASH_IN,304647.61,C1597527788,777.0,305424.61,C1006464744,1311243.53,1006595.92,0,1.0,12.0
2683397,210,CASH_OUT,120728.4,C1127683315,0.0,0.0,C1006464744,1006595.92,1127324.32,0,1.0,13.0
2690548,211,CASH_OUT,13292.51,C1091026927,34715.0,21422.49,C1006464744,1127324.32,1140616.83,0,1.0,14.0
2950585,230,CASH_OUT,212488.96,C2089217778,84493.0,0.0,C1006464744,1140616.83,1353105.79,0,1.0,15.0
3246250,250,CASH_OUT,296249.19,C1689357033,0.0,0.0,C1006464744,1353105.79,1649354.98,0,1.0,16.0
3398280,255,TRANSFER,276098.95,C401555603,6000.0,0.0,C1006464744,1649354.98,1925453.93,0,1.0,17.0
3684262,276,TRANSFER,1424193.08,C1951768091,0.0,0.0,C1006464744,1925453.93,3349647.01,0,1.0,18.0
3714001,277,TRANSFER,3097439.81,C81075115,0.0,0.0,C1006464744,3349647.01,6447086.82,0,1.0,19.0
4427946,322,CASH_OUT,244599.64,C251219118,0.0,0.0,C1006464744,6447086.82,6691686.45,0,1.0,20.0
4476400,324,CASH_IN,66486.53,C858211142,1626883.69,1693370.22,C1006464744,6691686.45,6625199.92,0,1.0,21.0
5266904,372,CASH_IN,13266.35,C1009144464,50898.0,64164.35,C1006464744,6625199.92,6611933.57,0,1.0,22.0
6010722,442,CASH_IN,33844.6,C676108508,3301369.1,3335213.7,C1006464744,6611933.57,6578088.98,0,1.0,23.0
2720520,211,CASH_OUT,140042.73,C1497347778,981.0,0.0,C1007502617,0.0,140042.73,0,1.0,1.0
3093982,235,CASH_IN,70742.8,C1469597249,5109173.11,5179915.91,C1007502617,140042.73,69299.93,0,1.0,2.0
4167376,304,CASH_OUT,6505.12,C1755888936,0.0,0.0,C1007502617,69299.93,75805.05,0,1.0,3.0
4933915,350,TRANSFER,10796.45,C1042324436,0.0,0.0,C1007502617,75805.05,86601.5,0,1.0,4.0
6201898,581,CASH_OUT,121142.75,C333294363,121142.75,0.0,C1007502617,86601.5,207744.25,1,1.0,5.0
367493,17,CASH_OUT,211643.63,C175099151,39298.45,0.0,C1009459055,325059.0,536702.63,0,1.0,1.0
576357,31,CASH_OUT,378204.02,C1309442409,378204.02,0.0,C1009459055,0.0,378204.02,1,1.0,2.0
674022,36,DEBIT,151.44,C1572017577,14457.7,14306.26,C1009459055,378204.02,378355.46,0,1.0,3.0
682824,36,CASH_OUT,244915.64,C437318363,0.0,0.0,C1009459055,378355.46,623271.1,0,1.0,4.0
749755,38,CASH_IN,137245.22,C988310055,6121997.2,6259242.42,C1009459055,623271.1,407300.32,0,1.0,5.0
750018,38,CASH_IN,78725.56,C200586426,4425731.26,4504456.82,C1009459055,486025.88,407300.32,0,1.0,6.0
808691,40,CASH_OUT,319099.33,C1737999041,0.0,0.0,C1009459055,407300.32,726399.65,0,1.0,7.0
1016641,47,CASH_OUT,153771.23,C1764165529,0.0,0.0,C1009459055,726399.65,880170.88,0,1.0,8.0
2046279,181,TRANSFER,564600.43,C1487715859,0.0,0.0,C1009459055,880170.88,1444771.3,0,1.0,9.0
2693649,211,CASH_IN,339915.3,C1258199964,1329197.23,1669112.52,C1009459055,1444771.3,1104856.01,0,1.0,10.0
2957292,230,CASH_OUT,106347.0,C2074655476,0.0,0.0,C1009459055,1104856.01,1211203.01,0,1.0,11.0
3040482,234,CASH_OUT,129660.28,C134350923,0.0,0.0,C1009459055,1211203.01,1340863.28,0,1.0,12.0
4309031,307,CASH_IN,36346.46,C581801973,15899553.09,15935899.54,C1009459055,1340863.28,1304516.83,0,1.0,13.0
4447389,323,CASH_IN,233160.2,C1292439204,33472.0,266632.2,C1009459055,1304516.83,1071664.95,0,1.0,14.0
4457356,323,DEBIT,308.33,C256079275,181049.65,180741.32,C1009459055,1071356.62,1071664.95,0,1.0,15.0
5218342,370,CASH_OUT,489537.88,C1573487007,50058.0,0.0,C1009459055,1071664.95,1561202.83,0,1.0,16.0
5576644,393,CASH_IN,254134.78,C2140698252,7507.22,261642.0,C1009459055,1561202.83,1307068.05,0,1.0,17.0
5108262,355,CASH_OUT,5580.37,C1949224911,0.0,0.0,C1009545186,23553.88,29134.25,0,1.0,1.0
5187810,362,CASH_OUT,174.92,C722054736,174.92,0.0,C1009545186,29134.25,29309.17,1,1.0,2.0
1851109,164,CASH_OUT,190967.41,C1149358313,13007.0,0.0,C1009747499,266056.12,457023.53,0,1.0,1.0
1926166,167,TRANSFER,325995.09,C62804908,290.0,0.0,C1009747499,457023.53,783018.61,0,1.0,2.0
2171248,185,CASH_IN,114186.81,C1183925905,9694691.96,9808878.77,C1009747499,783018.61,668831.8,0,1.0,3.0
2646847,209,CASH_IN,365889.65,C1038102944,5736404.86,6102294.51,C1009747499,668831.8,302942.16,0,1.0,4.0
2753225,212,CASH_OUT,5131896.17,C2124387698,5131896.17,0.0,C1009747499,302942.16,5434838.33,1,1.0,5.0
4326231,308,CASH_OUT,55676.1,C170125149,237618.8,181942.69,C1009747499,5434838.33,5490514.43,0,1.0,6.0
4521182,326,TRANSFER,1235248.52,C1951485377,0.0,0.0,C1009747499,5490514.43,6725762.95,0,1.0,7.0
4658361,330,TRANSFER,712493.38,C2086241900,42689.0,0.0,C1009747499,6725762.95,7438256.33,0,1.0,8.0
5334442,374,CASH_OUT,100909.42,C421568938,0.0,0.0,C1009747499,7438256.33,7539165.76,0,1.0,9.0
5703777,398,CASH_IN,454315.28,C1347560073,1407619.34,1861934.62,C1009906459,6546257.09,6091941.81,0,1.0,1.0
5771756,400,CASH_OUT,233144.18,C786374333,85198.0,0.0,C1009906459,6091941.81,6325085.98,0,1.0,2.0
6064513,505,CASH_OUT,745156.83,C189207115,745156.83,0.0,C1009906459,6325085.98,7070242.82,1,1.0,3.0
6111929,526,CASH_IN,58988.84,C889674083,4861662.51,4920651.36,C1009906459,7070242.82,7011253.97,0,1.0,4.0
36037,9,CASH_IN,199880.98,C115253114,90481.0,290361.98,C1011054162,62523.99,0.0,0,1.0,1.0
73959,10,CASH_OUT,423173.03,C1346533863,497606.0,74432.97,C1011054162,0.0,423173.03,0,1.0,2.0
109250,11,CASH_OUT,406117.19,C1381955906,0.0,0.0,C1011054162,423173.03,743621.88,0,1.0,3.0
115992,11,CASH_IN,85668.34,C272610426,1504060.45,1589728.79,C1011054162,829290.22,743621.88,0,1.0,4.0
142031,11,CASH_OUT,15376.55,C576532980,0.0,0.0,C1011054162,743621.88,758998.43,0,1.0,5.0
158598,12,CASH_OUT,219711.68,C559155058,0.0,0.0,C1011054162,758998.43,978710.11,0,1.0,6.0
210363,13,CASH_OUT,261815.62,C1614091349,0.0,0.0,C1011054162,978710.11,1299580.04,0,1.0,7.0
216939,13,CASH_OUT,59054.32,C1521921344,224146.31,165091.99,C1011054162,1240525.72,1299580.04,0,1.0,8.0
229718,14,CASH_IN,43173.25,C796680126,7530080.58,7573253.83,C1011054162,1299580.04,1371864.0,0,1.0,9.0
248544,14,CASH_OUT,152908.24,C1646337365,0.0,0.0,C1011054162,1256406.8,1371864.0,0,1.0,10.0
252844,14,TRANSFER,246681.15,C2128874078,0.0,0.0,C1011054162,1409315.04,1371864.0,0,1.0,11.0
262443,15,CASH_OUT,54188.81,C548603686,0.0,0.0,C1011054162,1655996.18,1371864.0,0,1.0,12.0
294546,15,CASH_IN,338320.99,C295376948,1004389.51,1342710.5,C1011054162,1710184.99,1371864.0,0,1.0,13.0
314685,16,CASH_OUT,415239.41,C362684815,0.0,0.0,C1011054162,1371864.0,3045974.97,0,1.0,14.0
337004,16,CASH_IN,86736.56,C653517204,967945.17,1054681.73,C1011054162,1787103.41,3045974.97,0,1.0,15.0
338258,16,TRANSFER,385473.82,C6835197,991.0,0.0,C1011054162,1700366.85,3045974.97,0,1.0,16.0
349617,17,TRANSFER,960134.3,C960178902,0.0,0.0,C1011054162,2085840.68,3045974.97,0,1.0,17.0
529183,20,CASH_OUT,27115.48,C1373538599,234091.0,206975.52,C1011054162,3045974.97,3073090.45,0,1.0,18.0
551689,21,CASH_OUT,153730.55,C2092426906,0.0,0.0,C1011054162,3073090.45,3226820.99,0,1.0,19.0
706386,37,CASH_OUT,210058.85,C1760000021,0.0,0.0,C1011054162,3226820.99,3619737.51,0,1.0,20.0
708989,37,CASH_OUT,182857.67,C976023086,9052.0,0.0,C1011054162,3436879.84,3619737.51,0,1.0,21.0
811657,40,CASH_OUT,307399.49,C974439849,10058.0,0.0,C1011054162,3619737.51,3927137.0,0,1.0,22.0
818390,40,CASH_IN,331135.14,C232202371,4233018.36,4564153.5,C1011054162,3927137.0,3596001.86,0,1.0,23.0
942609,43,CASH_OUT,189285.12,C1726725683,0.0,0.0,C1011054162,3596001.86,3785286.98,0,1.0,24.0
1015714,47,CASH_OUT,2249574.01,C758510706,2249574.01,0.0,C1011054162,3785286.98,6034861.0,1,1.0,25.0
1114229,130,CASH_OUT,145352.17,C781160993,15998.0,0.0,C1011054162,6034861.0,6180213.16,0,1.0,26.0
1777041,162,CASH_IN,380263.71,C851072298,215.0,380478.71,C1011054162,6180213.16,5799949.45,0,1.0,27.0
2882532,228,CASH_IN,260629.51,C7221474,9177435.17,9438064.67,C1011054162,5799949.45,5539319.94,0,2.0,28.0
3259166,251,TRANSFER,368602.05,C1534510477,0.0,0.0,C1011054162,5539319.94,5907921.99,0,1.0,29.0
4112843,302,CASH_OUT,136107.32,C168185943,247453.0,111345.68,C1011054162,5907921.99,6044029.3,0,1.0,30.0
4481878,324,CASH_IN,289409.85,C737880487,43916.79,333326.65,C1011054162,6044029.3,5754619.45,0,1.0,31.0
4517876,325,CASH_OUT,210997.85,C373692878,2268.0,0.0,C1011054162,5754619.45,5965617.3,0,1.0,32.0
4684304,331,CASH_IN,175554.76,C863939608,4376689.94,4552244.7,C1011054162,5965617.3,5790062.54,0,1.0,33.0
41007,9,CASH_IN,67013.99,C1998959095,1644725.05,1711739.04,C101179743,130543.0,63529.01,0,1.0,1.0
79591,10,CASH_IN,123728.79,C405380872,1531351.45,1655080.24,C101179743,166894.91,43166.12,0,1.0,2.0
91578,10,DEBIT,3970.12,C1138744825,31616.0,27645.88,C101179743,43166.12,47136.24,0,1.0,3.0
310155,16,TRANSFER,694837.61,C618450625,1122.0,0.0,C101179743,47136.24,775371.16,0,1.0,4.0
343275,16,CASH_IN,88229.51,C427764811,13754.0,101983.51,C101179743,741973.85,775371.16,0,1.0,5.0
347735,16,CASH_OUT,121626.82,C828364266,121626.82,0.0,C101179743,653744.34,775371.16,1,1.0,6.0
493899,20,CASH_OUT,53146.66,C381492191,3086.0,0.0,C101179743,775371.16,1163350.22,0,1.0,7.0
516461,20,CASH_OUT,20839.44,C143470908,89.0,0.0,C101179743,828517.82,1163350.22,0,1.0,8.0
524576,20,CASH_OUT,313992.95,C2049390873,0.0,0.0,C101179743,849357.26,1163350.22,0,1.0,9.0
696204,36,TRANSFER,311396.77,C1591090517,0.0,0.0,C101179743,1163350.22,1474746.99,0,1.0,10.0
756106,38,CASH_OUT,16213.33,C1208532443,0.0,0.0,C101179743,1474746.99,1490960.32,0,1.0,11.0
824028,41,CASH_OUT,95897.07,C1669801270,0.0,0.0,C101179743,1490960.32,1586857.39,0,1.0,12.0
1155959,131,CASH_IN,204234.69,C967413017,9928146.25,10132380.93,C101179743,1586857.39,1382622.71,0,1.0,13.0
1374745,138,CASH_OUT,181195.64,C760274627,0.0,0.0,C101179743,1382622.71,1563818.35,0,1.0,14.0
1434545,140,CASH_OUT,157237.82,C1752843086,0.0,0.0,C101179743,1563818.35,1721056.16,0,1.0,15.0
1924925,167,CASH_OUT,254370.18,C1545997623,0.0,0.0,C101179743,1721056.16,1975426.34,0,1.0,16.0
2465109,203,TRANSFER,765805.98,C1536493474,30990.0,0.0,C101179743,1975426.34,2741232.32,0,1.0,17.0
2596685,207,TRANSFER,1001262.46,C10379248,0.0,0.0,C101179743,2741232.32,3742494.78,0,1.0,18.0
2756974,212,CASH_OUT,7555.64,C1544644071,113356.92,105801.28,C101179743,3742494.78,3750050.42,0,1.0,19.0
2771848,213,CASH_IN,250967.49,C2059544853,6652692.55,6903660.04,C101179743,3750050.42,3381277.22,0,1.0,20.0
2782473,214,CASH_IN,117805.72,C959734500,3547782.62,3665588.34,C101179743,3499082.94,3381277.22,0,1.0,21.0
3658323,275,CASH_IN,44269.56,C286789720,475.0,44744.56,C101179743,3381277.22,3337007.66,0,1.0,22.0
3691776,277,CASH_OUT,22220.68,C529440102,0.0,0.0,C101179743,3337007.66,3359228.34,0,1.0,23.0
